Account Number,Description,Account Type
23-74004,Intercompany Expense,Posting Account
23-75000,UTILITIES- CABLE TV,Posting Account
23-75001,Utilities-Electric,Posting Account
23-75002,Fuel/Propane,Posting Account
23-75003,Sewer/ Sanitary and Trash,Posting Account
23-75004,Cellular Phones,Posting Account
23-75005,Telephone Expense,Posting Account
23-79001,Cash Short (Over),Posting Account
23-81003,Supplies-Office,Posting Account
23-81004,Supplies-Cleaning,Posting Account
23-81005,Supplies-Linen/Laundry,Posting Account
23-81007,Supplies - China/Glass/Svware,Posting Account
23-81008,Supplies-Other,Posting Account
23-85000,Printing/Forms,Posting Account
23-85001,Uniforms,Posting Account
23-85002,Equipment Lease and Rental,Posting Account
23-85003,Small Tools and Equipment,Posting Account
23-85004,Postage and Freight,Posting Account
23-85005,Linen/Laundry Service,Posting Account
23-89000,Dues and Subscriptions,Posting Account
23-89003,Tribal Directed Events,Posting Account
23-89006,Bad Debt Expense,Posting Account
23-89007,Assessments and Taxes,Posting Account
23-89008,Over / Short,Posting Account
23-89011,Employee Appreciation,Posting Account
25-13022,Gift Shop-Inv Retail - Boutique,Posting Account
25-13024,Gift Shop-Inv Retail-Hotel/Casino BOH,Posting Account
25-13037,Gift Shop-Inventory Stock - Other,Posting Account
25-13043,Gift Shop-Gift Shop-Inv Retail-Boutique,Posting Account
25-44000,Gifts and Accessories Sales,Posting Account
25-44001,Tobacco Sales,Posting Account
25-44002,Apparel Sales,Posting Account
25-44003,Jewelry Sales,Posting Account
25-44004,Sundries/Perishable Sales,Posting Account
25-44005,Literature/Periodical Sales,Posting Account
25-44006,Consignment Sales,Posting Account
25-44007,Misc Revenue,Posting Account
25-45000,Merchandise Sales,Posting Account
25-45001,Event Ticket Sales,Posting Account
25-45002,Event Comp Ticket Sales,Posting Account
25-50000,Gift Shop-Food,Posting Account
25-51000,Gift Shop-Beverage,Posting Account
25-53000,Spoilage Gift Shop,Posting Account
25-54000,Jewelry,Posting Account
25-55000,Merchandise,Posting Account
25-56000,Tobacco,Posting Account
25-57000,Soft Goods,Posting Account
25-58000,Other,Posting Account
25-59000,Apparel COS,Posting Account
25-60000,Salaries,Posting Account
25-60001,Regular Wages,Posting Account
25-60002,Overtime,Posting Account
25-60003,PTO,Posting Account
25-60004,Bereavement Pay,Posting Account
25-60005,Jury Duty,Posting Account
25-60006,Commissions,Posting Account
25-60007,Training Wages,Posting Account
25-60008,Wages-Other,Posting Account
25-60009,Payroll Allocation,Posting Account
25-60010,Social Security Taxes,Posting Account
25-60011,Medicare Taxes,Posting Account
25-60012,SUTA Expense,Posting Account
25-60013,Workers Comp Expense,Posting Account
25-60014,Group Insurance - Health,Posting Account
25-60015,Group Insurance - Life,Posting Account
25-60016,Employee Pension,Posting Account
25-60017,Employee Meals,Posting Account
25-60018,Employee Relations,Posting Account
25-60019,Employee Activities,Posting Account
25-62014,Flowers/Decorations,Posting Account
25-64002,Customer Service,Posting Account
25-67000,Travel Expense,Posting Account
25-67001,Travel Expense - NonEmp,Posting Account
25-67002,Training and Education,Posting Account
25-67003,Training and Education,Posting Account
25-67004,Employee Recruiting,Posting Account
25-67005,Meals and Entertainment,Posting Account
25-68000,Contract/Temp Labor,Posting Account
25-68001,Agent Commissions,Posting Account
25-68002,Professional Services,Posting Account
25-68003,Maintenance Contracts,Posting Account
25-71000,Building Lease,Posting Account
25-71001,Equipment Lease and Rental,Posting Account
25-71002,Storage Unit Rental,Posting Account
25-72000,RandM - Building,Posting Account
25-72001,RandM - Equipment,Posting Account
25-72002,RandM - Grounds,Posting Account
25-72003,RandM - Computer,Posting Account
25-72004,RandM - Vehicles,Posting Account
25-72005,RandM - Surveillance,Posting Account
25-74000,Intercompany Comps,Posting Account
25-74001,FandB Comps,Posting Account
25-74002,Hotel Comps,Posting Account
25-74003,Box Office Expense,Posting Account
25-74004,Intercompany Expense,Posting Account
25-75000,UTILITIES- CABLE TV,Posting Account
25-75001,Utilities-Electric,Posting Account
25-75002,Fuel/Propane,Posting Account
25-75003,Sewer/ Sanitary and Trash,Posting Account
25-75004,Cellular Phones,Posting Account
25-75005,Telephone Expense,Posting Account
25-79001,Cash Short (Over),Posting Account
25-79003,Credit Card Fees- Otter Creek,Posting Account
25-81003,Supplies-Office,Posting Account
25-81004,Supplies-Cleaning,Posting Account
25-81005,Supplies-Linen/Laundry,Posting Account
25-81007,Supplies - China/Glass/Svware,Posting Account
25-81008,Supplies-Other,Posting Account
25-85000,Printing/Forms,Posting Account
25-85001,Uniforms,Posting Account
25-85002,Equipment Lease and Rental,Posting Account
25-85003,Small Tools and Equipment,Posting Account
25-85004,Postage and Freight,Posting Account
25-85005,Linen/Laundry Service,Posting Account
25-89000,Dues and Subscriptions,Posting Account
25-89003,Tribal Directed Events,Posting Account
25-89006,Bad Debt Expense,Posting Account
25-89007,Assessments and Taxes,Posting Account
25-89008,Over / Short,Posting Account
25-89011,Employee Appreciation,Posting Account
30-12003,Abalone Restaurant/Bar-A/R Catering,Posting Account
30-13000,Abalone Restaurant/Bar-Inv F&B - Prep Kitchen,Posting Account
30-13002,Abalone Restaurant/Bar-Inv F&B - Cafe,Posting Account
30-13005,Abalone Restaurant/Bar-Inv F&B - Catering,Posting Account
30-13008,Abalone Restaurant/Bar-Inv Bev - Resort,Posting Account
30-13009,Abalone Restaurant/Bar-Inv Alcohol - Hotel/Casino,Posting Account
30-13010,Abalone Restaurant/Bar-Inv Alcohol - Other 1,Posting Account
30-13013,Abalone Restaurant/Bar-Inv Alcohol - Room Svc,Posting Account
30-13014,Abalone Restaurant/Bar-Inventory Liquor,Posting Account
30-13033,Abalone Restaurant/Bar-Inventory Stock - Silverwea,Posting Account
30-18004,Abalone Restaurant/Bar-Equipment,Posting Account
30-18006,"Abalone Restaurant/Bar-F, F & E-Hotel",Posting Account
30-21059,Abalone Restaurant/Bar-,Posting Account
30-40050,Abalone Restaurant/Bar-Misc Income,Posting Account
30-43000,Food Sales,Posting Account
30-43001,Comp Food Sales,Posting Account
30-43002,Beverage Sales,Posting Account
30-43003,Alcohol Sales,Posting Account
30-43004,Complimentaries,Posting Account
30-43005,Abalone Restaurant/Bar- Non Alcoholic Drink,Posting Account
30-44007,Abalone Restaurant/Bar:Discounted Food,Posting Account
30-45001,Abalone Restaurant/Bar-Event Ticket Sales,Posting Account
30-46000,Abalone Restaurant/Bar-Catering Revenue,Posting Account
30-47500,Abalone Restaurant/Bar-Discounts,Posting Account
30-50000,Food,Posting Account
30-51000,Beverage,Posting Account
30-52000,Alcohol,Posting Account
30-53000,Spoilage F & B,Posting Account
30-57000,Abalone Restaurant/Bar-Soft Goods,Posting Account
30-57001,Abalone Restaurant/Bar-Soft Goods,Posting Account
30-58000,Abalone Restaurant/Bar Supplies Other,Posting Account
30-60000,Salaries,Posting Account
30-60001,Regular Wages,Posting Account
30-60002,Overtime,Posting Account
30-60003,PTO,Posting Account
30-60004,Bereavement Pay,Posting Account
30-60005,Jury Duty,Posting Account
30-60006,Commissions,Posting Account
30-60007,Training Wages,Posting Account
30-60008,Wages-Other,Posting Account
30-60009,FUTA Expense,Posting Account
30-60010,Social Security Taxes,Posting Account
30-60011,Medicare Taxes,Posting Account
30-60012,SUTA Expense,Posting Account
30-60013,Workers Comp Expense,Posting Account
30-60014,Group Insurance - Health,Posting Account
30-60015,Group Insurance - Life,Posting Account
30-60016,Employee Pension,Posting Account
30-60017,Employee Meals,Posting Account
30-60018,Employee Relations,Posting Account
30-60019,Employee Activities,Posting Account
30-62000,Abalone Restaurant/Bar-Advertising-Print and Art,Posting Account
30-62002,Abalone Restaurant/Bar-Advertising-Radio,Posting Account
30-62003,Abalone Restaurant/Bar-Advertising-Billboard,Posting Account
30-62005,Abalone Restaurant/Bar-Advertising-Web Site,Posting Account
30-62006,Abalone Restaurant/Bar-Advertising-Direct Mail,Posting Account
30-62014,Flowers/Decorations,Posting Account
30-62015,Abalone Restaurant/Bar-Promotion Giveaways,Posting Account
30-62017,Abalone Restaurant/Bar-Special Events,Posting Account
30-62021,Abalone Restaurant/Bar- Coupon Expense,Posting Account
30-64002,Discounts,Posting Account
30-67000,Travel Expense,Posting Account
30-67001,Travel Expense - NonEmp,Posting Account
30-67002,Training and Education,Posting Account
30-67003,Training and Education,Posting Account
30-67004,Employee Recruiting,Posting Account
30-67005,Meals and Entertainment,Posting Account
30-68000,Contract/Temp Labor,Posting Account
30-68002,Professional Services,Posting Account
30-68003,Maintenance Contracts,Posting Account
30-69001,Abalone Restaurant/Bar-Insurance-Property,Posting Account
30-69002,Abalone Restaurant/Bar-Insurance-Liability,Posting Account
30-69003,Abalone Restaurant/Bar-Insurance-Crime,Posting Account
30-71000,Building Lease,Posting Account
30-71001,Equipment Lease and Rental,Posting Account
30-71002,Storage Unit Rental,Posting Account
30-72000,RandM - Building,Posting Account
30-72001,RandM - Equipment,Posting Account
30-72002,RandM - Grounds,Posting Account
30-72003,RandM - Computer,Posting Account
30-72004,RandM - Vehicles,Posting Account
30-72005,RandM - Surveillance,Posting Account
30-74000,Intercompany Comps,Posting Account
30-74001,FandB Comps,Posting Account
30-74002,Hotel Comps,Posting Account
30-74003,Utilities - Water,Posting Account
30-74004,Intercompany Expense,Posting Account
30-75000,Utilities - Cable TV,Posting Account
30-75001,Utilities-Electric,Posting Account
30-75002,Fuel/Propane,Posting Account
30-75003,Sewer/ Sanitary and Trash,Posting Account
30-75004,Cellular Phones,Posting Account
30-75005,Telephone Expense,Posting Account
30-75006,Abalone Restaurant/Bar-INTERNET EXPENSE,Posting Account
30-77002,Abalone Restaurant/Bar-Licenses and Fees,Posting Account
30-79001,Cash Short (Over),Posting Account
30-79002,Abalone Restaurant/Bar-Armored Car Services,Posting Account
30-79003,Abalone Restaurant/Bar-Credit Card Fees,Posting Account
30-81003,Supplies-Office,Posting Account
30-81004,Supplies-Cleaning,Posting Account
30-81005,Supplies-Linen/Laundry,Posting Account
30-81007,Supplies - China/Glass/Svware,Posting Account
30-81008,Supplies-Other,Posting Account
30-85000,Printing/Forms,Posting Account
30-85001,Uniforms,Posting Account
30-85002,Equipment Lease and Rental,Posting Account
30-85003,Small Tools and Equipment,Posting Account
30-85004,Postage and Freight,Posting Account
30-85005,Linen/Laundry Service,Posting Account
30-89000,Dues and Subscriptions,Posting Account
30-89003,Tribal Directed Events,Posting Account
30-89007,Assessments and Taxes,Posting Account
30-89008,Over / Short,Posting Account
30-89011,Employee Appreciation,Posting Account
30-90014,Abalone Restaurant/Bar-F&B Checks,Posting Account
30-90015,Abalone Restaurant/Bar-F&B Checks Offset,Posting Account
30-90016,Abalone Restaurant/Bar-F&B Revenue,Posting Account
30-90017,Abalone Restaurant/Bar-F&B Revenue Offset,Posting Account
41-40003,Mktng Admin-Slot E-Promo,Posting Account
41-60000,Salaries,Posting Account
41-60001,Regular Wages,Posting Account
41-60002,Overtime,Posting Account
41-60003,PTO,Posting Account
41-60004,Bereavement Pay,Posting Account
41-60005,Jury Duty,Posting Account
41-60006,Commissions,Posting Account
41-60007,Training Wages,Posting Account
41-60008,Wages-Other,Posting Account
41-60009,Payroll Allocation,Posting Account
41-60010,Social Security Taxes,Posting Account
41-60011,Medicare Taxes,Posting Account
41-60012,SUTA Expense,Posting Account
41-60013,Workers Comp Expense,Posting Account
41-60014,Group Insurance - Health,Posting Account
41-60015,Group Insurance - Life,Posting Account
41-60016,Employee Pension,Posting Account
41-60017,Employee Meals,Posting Account
41-60018,Employee Relations,Posting Account
41-60019,Employee Activities,Posting Account
41-62000,Advertising-Print and Art,Posting Account
41-62001,Advertising-Television,Posting Account
41-62002,Advertising-Radio,Posting Account
41-62003,Advertising-Billboard,Posting Account
41-62004,Advertising-Production,Posting Account
41-62005,Advertising-Web Site,Posting Account
41-62006,Advertising-Direct Mail,Posting Account
41-62007,Advertising-Consultant,Posting Account
41-62008,Production-Print,Posting Account
41-62009,Production-Television,Posting Account
41-62010,Production-Radio,Posting Account
41-62011,Production-Billboard,Posting Account
41-62012,Production-Direct Mail,Posting Account
41-62013,Production-Website,Posting Account
41-62014,Flowers/Decorations,Posting Account
41-62015,Promotion Giveaways,Posting Account
41-62016,Promotions,Posting Account
41-62017,Special Events,Posting Account
41-62018,Tournament Costs,Posting Account
41-62019,Discounts - F & B,Posting Account
41-62020,Department Promotions,Posting Account
41-62021,E promo Coupon Expense,Posting Account
41-62022,Audio/Visual,Posting Account
41-62023,Box Office Fees,Posting Account
41-62024,Trade Show Registration Fees,Posting Account
41-62025,Entertainment-Talent Fee,Posting Account
41-62026,Entertainment-Lodging,Posting Account
41-62027,Entertainment-Transportation,Posting Account
41-62028,Entertainment-Lounges,Posting Account
41-62029,Entertainment-Production,Posting Account
41-64002,Customer Service,Posting Account
41-67000,Travel Expense,Posting Account
41-67001,Travel Expense - NonEmp,Posting Account
41-67002,Training and Education,Posting Account
41-67003,Training and Education,Posting Account
41-67004,Employee Recruiting,Posting Account
41-67005,Meals and Entertainment,Posting Account
41-68000,Contract/Temp Labor,Posting Account
41-68002,Professional Services,Posting Account
41-68003,Maintenance Contracts,Posting Account
41-71000,Building Lease,Posting Account
41-71001,Equipment Lease and Rental,Posting Account
41-71002,Storage Unit Rental,Posting Account
41-72000,RandM - Building,Posting Account
41-72001,RandM - Equipment,Posting Account
41-72002,RandM - Grounds,Posting Account
41-72003,RandM - Computer,Posting Account
41-72004,RandM - Vehicles,Posting Account
41-72005,RandM - Surveillance,Posting Account
41-74000,Intercompany Comps,Posting Account
41-74001,FandB Comps,Posting Account
41-74002,Hotel Comps,Posting Account
41-74003,Box Office Expense,Posting Account
41-74004,Intercompany Expense,Posting Account
41-75000,UTILITIES- CABLE TV,Posting Account
41-75001,Utilities-Electric,Posting Account
41-75002,Fuel/Propane,Posting Account
41-75003,Sewer/ Sanitary and Trash,Posting Account
41-75004,Cellular Phones,Posting Account
41-75005,Telephone Expense,Posting Account
41-79001,Cash Short (Over),Posting Account
41-81003,Supplies-Office,Posting Account
41-81004,Supplies-Cleaning,Posting Account
41-81005,Supplies-Linen/Laundry,Posting Account
41-81008,Supplies-Other,Posting Account
41-85000,Printing/Forms,Posting Account
41-85001,Uniforms,Posting Account
41-85002,Equipment Lease and Rental,Posting Account
41-85003,Small Tools and Equipment,Posting Account
41-85004,Postage and Freight,Posting Account
41-85005,Linen/Laundry Service,Posting Account
41-89000,Dues and Subscriptions,Posting Account
41-89003,Tribal Directed Events,Posting Account
41-89007,Assessments and Taxes,Posting Account
41-89008,Over / Short,Posting Account
41-89011,Employee Appreciation,Posting Account
42-21055,Player's Club-Accrued Tips,Posting Account
42-43003,Player's Club-Alcohol Sales,Posting Account
42-44001,Player's Club-Tobacco Sales,Posting Account
42-45000,Player's Club-Merchandise Sales,Posting Account
42-47500,Player's Club-Discounts,Posting Account
42-55000,Player's Club-Merchandise,Posting Account
42-56000,Player's Club-Tobacco,Posting Account
42-60001,Player's Club-Regular Wages,Posting Account
42-60002,Player's Club-Overtime,Posting Account
42-60003,Player's Club-PTO,Posting Account
42-60004,Player's Club-Bereavement Pay,Posting Account
42-60010,Player's Club-Social Security Taxes,Posting Account
42-60011,Player's Club-Medicare Taxes,Posting Account
42-60012,Player's Club-SUTA Expense,Posting Account
42-60013,Player's Club-Workers Comp Expense,Posting Account
42-60014,Player's Club-Group Insurance - Health,Posting Account
42-79003,Player's Club-Credit Card Fees,Posting Account
42-81008,Player's Club-Supplies-Other,Posting Account
50-60000,Salaries,Posting Account
50-60001,Regular Wages,Posting Account
50-60002,Overtime,Posting Account
50-60003,PTO,Posting Account
50-60004,Bereavement Pay,Posting Account
50-60005,Jury Duty,Posting Account
50-60006,Commissions,Posting Account
50-60007,Training Wages,Posting Account
50-60008,Wages-Other,Posting Account
50-60009,Payroll Allocation,Posting Account
50-60010,Social Security Taxes,Posting Account
50-60011,Medicare Taxes,Posting Account
50-60012,SUTA Expense,Posting Account
50-60013,Workers Comp Expense,Posting Account
50-60014,Group Insurance - Health,Posting Account
50-60015,Group Insurance - Life,Posting Account
50-60016,Employee Pension,Posting Account
50-60017,Employee Meals,Posting Account
50-60018,Employee Relations,Posting Account
50-60019,Employee Activities,Posting Account
50-62017,HR-Special Events,Posting Account
50-67000,Travel Expense,Posting Account
50-67001,Travel Expense - NonEmp,Posting Account
50-67002,Training and Education,Posting Account
50-67003,Training and Education,Posting Account
50-67004,Employee Recruiting,Posting Account
50-67005,Meals and Entertainment,Posting Account
50-68000,Contract/Temp Labor,Posting Account
50-68002,Professional Services,Posting Account
50-68003,Maintenance Contracts,Posting Account
50-69004,HR-Insurance-Umbrella,Posting Account
50-71000,Building Lease,Posting Account
50-71001,Equipment Lease and Rental,Posting Account
50-71002,Storage Unit Rental,Posting Account
50-72000,RandM - Building,Posting Account
50-72001,RandM - Equipment,Posting Account
50-72002,RandM - Grounds,Posting Account
50-72003,RandM - Computer,Posting Account
50-72004,RandM - Vehicles,Posting Account
50-72005,RandM - Surveillance,Posting Account
50-74000,Intercompany Comps,Posting Account
50-74001,FandB Comps,Posting Account
50-74002,Hotel Comps,Posting Account
50-74003,Box Office Expense,Posting Account
50-74004,Intercompany Expense,Posting Account
50-75000,UTILITIES- CABLE TV,Posting Account
50-75001,Utilities-Electric,Posting Account
50-75002,Fuel/Propane,Posting Account
50-75003,Sewer/ Sanitary and Trash,Posting Account
50-75004,Cellular Phones,Posting Account
50-75005,Telephone Expense,Posting Account
50-77002,HR-Licenses and Fees,Posting Account
50-81003,Supplies-Office,Posting Account
50-81004,Supplies-Cleaning,Posting Account
50-81005,Supplies-Linen/Laundry,Posting Account
50-81006,Supplies-Gaming,Posting Account
50-81007,Supplies - China/Glass/Svware,Posting Account
50-81008,Supplies-Other,Posting Account
50-85000,Printing/Forms,Posting Account
50-85001,Uniforms,Posting Account
50-85002,Equipment Lease and Rental,Posting Account
50-85003,Small Tools and Equipment,Posting Account
50-85004,Postage and Freight,Posting Account
50-85005,Linen/Laundry Service,Posting Account
50-89000,Dues and Subscriptions,Posting Account
50-89003,Tribal Directed Events,Posting Account
50-89007,Assessments and Taxes,Posting Account
50-89008,Over / Short,Posting Account
50-89010,Employee Assistance Cost,Posting Account
50-89011,Employee Appreciation,Posting Account
61-60000,Salaries,Posting Account
61-60001,Regular Wages,Posting Account
61-60002,Overtime,Posting Account
61-60003,PTO,Posting Account
61-60004,Bereavement Pay,Posting Account
61-60005,Jury Duty,Posting Account
61-60006,Commissions,Posting Account
61-60007,Training Wages,Posting Account
61-60008,Wages-Other,Posting Account
61-60009,FUTA Expense,Posting Account
61-60010,Social Security Taxes,Posting Account
61-60011,Medicare Taxes,Posting Account
61-60012,SUTA Expense,Posting Account
61-60013,Workers Comp Expense,Posting Account
61-60014,Group Insurance - Health,Posting Account
61-60015,Group Insurance - Life,Posting Account
61-60016,Employee Pension,Posting Account
61-60017,Employee Meals,Posting Account
61-60018,Employee Relations,Posting Account
61-60019,Employee Activities,Posting Account
61-67000,Travel Expense,Posting Account
61-67001,Travel Expense - NonEmp,Posting Account
61-67002,Training and Education,Posting Account
61-67003,Training and Education,Posting Account
61-67004,Employee Recruiting,Posting Account
61-67005,Meals and Entertainment,Posting Account
61-68000,Contract/Temp Labor,Posting Account
61-68002,Professional Services,Posting Account
61-68003,Maintenance Contracts,Posting Account
61-71000,Building Lease,Posting Account
61-71001,Equipment Lease and Rental,Posting Account
61-71002,Storage Unit Rental,Posting Account
61-72000,RandM - Building,Posting Account
61-72001,RandM - Equipment,Posting Account
61-72002,RandM - Grounds,Posting Account
61-72003,RandM - Computer,Posting Account
61-72004,RandM - Vehicles,Posting Account
61-72005,RandM - Surveillance,Posting Account
61-73000,Vehicle - Fuel Expense,Posting Account
61-74000,Intercompany Comps,Posting Account
61-74001,FandB Comps,Posting Account
61-74002,Hotel Comps,Posting Account
61-74003,Box Office Expense,Posting Account
61-74004,Intercompany Expense,Posting Account
61-75000,UTILITIES- CABLE TV,Posting Account
61-75001,Utilities-Electric,Posting Account
61-75002,Fuel/Propane,Posting Account
61-75003,Sewer/ Sanitary and Trash,Posting Account
61-75004,Cellular Phones,Posting Account
61-75005,Telephone Expense,Posting Account
61-81003,Supplies-Office,Posting Account
61-81004,Supplies-Cleaning,Posting Account
61-81005,Supplies-Linen/Laundry,Posting Account
61-81008,Supplies-Other,Posting Account
61-85000,Printing/Forms,Posting Account
61-85001,Uniforms,Posting Account
61-85002,Equipment Lease and Rental,Posting Account
61-85003,Small Tools and Equipment,Posting Account
61-85004,Postage and Freight,Posting Account
61-85005,Linen/Laundry Service,Posting Account
61-85006,Fertilizer,Posting Account
61-85007,Chemicals,Posting Account
61-89000,Dues and Subscriptions,Posting Account
61-89003,Tribal Directed Events,Posting Account
61-89007,Assessments and Taxes,Posting Account
61-89008,Over / Short,Posting Account
61-89011,Employee Appreciation,Posting Account
65-75001,Utilities-Electric,Posting Account
65-75003,Sewer/ Sanitary and Trash,Posting Account
70-60000,Salaries,Posting Account
70-60001,Regular Wages,Posting Account
70-60002,Overtime,Posting Account
70-60003,PTO,Posting Account
70-60004,Bereavement Pay,Posting Account
70-60005,Jury Duty,Posting Account
70-60006,Commissions,Posting Account
70-60007,Training Wages,Posting Account
70-60008,Wages-Other,Posting Account
70-60009,FUTA Expense,Posting Account
70-60010,Social Security Taxes,Posting Account
70-60011,Medicare Taxes,Posting Account
70-60012,SUTA Expense,Posting Account
70-60013,Workers Comp Expense,Posting Account
70-60014,Group Insurance - Health,Posting Account
70-60015,Group Insurance - Life,Posting Account
70-60016,Employee Pension,Posting Account
70-60017,Employee Meals,Posting Account
70-60018,Employee Relations,Posting Account
70-60019,Employee Activities,Posting Account
70-64002,Customer Service,Posting Account
70-66000,Safety Program,Posting Account
70-66001,First Aid Supplies,Posting Account
70-67000,Travel Expense,Posting Account
70-67001,Travel Expense - NonEmp,Posting Account
70-67002,Training and Education,Posting Account
70-67003,Training and Education,Posting Account
70-67004,Employee Recruiting,Posting Account
70-67005,Meals and Entertainment,Posting Account
70-68000,Contract/Temp Labor,Posting Account
70-68002,Professional Services,Posting Account
70-68003,Maintenance Contracts,Posting Account
70-71000,Building Lease,Posting Account
70-71001,Equipment Lease and Rental,Posting Account
70-71002,Storage Unit Rental,Posting Account
70-72000,RandM - Building,Posting Account
70-72001,RandM - Equipment,Posting Account
70-72002,RandM - Grounds,Posting Account
70-72003,RandM - Computer,Posting Account
70-72004,RandM - Vehicles,Posting Account
70-72005,RandM - Surveillance,Posting Account
70-74000,Intercompany Comps,Posting Account
70-74001,FandB Comps,Posting Account
70-74002,Hotel Comps,Posting Account
70-74003,Box Office Expense,Posting Account
70-74004,Intercompany Expense,Posting Account
70-75000,UTILITIES- CABLE TV,Posting Account
70-75001,Utilities-Electric,Posting Account
70-75002,Fuel/Propane,Posting Account
70-75003,Sewer/ Sanitary and Trash,Posting Account
70-75004,Cellular Phones,Posting Account
70-75005,Telephone Expense,Posting Account
70-81003,Supplies-Office,Posting Account
70-81004,Supplies-Cleaning,Posting Account
70-81005,Supplies-Linen/Laundry,Posting Account
70-81008,Supplies-Other,Posting Account
70-85000,Printing/Forms,Posting Account
70-85001,Uniforms,Posting Account
70-85002,Equipment Lease and Rental,Posting Account
70-85003,Small Tools and Equipment,Posting Account
70-85004,Postage and Freight,Posting Account
70-85005,Linen/Laundry Service,Posting Account
70-89000,Dues and Subscriptions,Posting Account
70-89003,Tribal Directed Events,Posting Account
70-89006,Bad Debt Expense,Posting Account
70-89007,Assessments and Taxes,Posting Account
70-89008,Over / Short,Posting Account
70-89011,Employee Appreciation,Posting Account
75-17005,Surveillance-Building- Hotel/Casino,Posting Account
75-60000,Surveillance-Salaries,Posting Account
75-60001,Surveillance-Regular Wages,Posting Account
75-60009,FUTA Expense,Posting Account
75-60010,Surveillance-Social Security Taxes,Posting Account
75-60011,Surveillance-Medicare Taxes,Posting Account
75-60012,SUTA Expense,Posting Account
75-60013,Surveillance-Workers Comp Expense,Posting Account
75-60014,Surveillance-Group Insurance,Posting Account
75-67000,Surveillance-Travel Expense,Posting Account
75-67004,Employee Recruiting,Posting Account
75-81003,Surveillance-Supplies-Office,Posting Account
75-89036,Contract Gaming Commission,Posting Account
80-40010,ATM Fee Revenue,Posting Account
80-41000,Check Cashing Fee Revenue,Posting Account
80-60000,Salaries,Posting Account
80-60001,Regular Wages,Posting Account
80-60002,Overtime,Posting Account
80-60003,PTO,Posting Account
80-60004,Bereavement Pay,Posting Account
80-60005,Jury Duty,Posting Account
80-60006,Commissions,Posting Account
80-60007,Training Wages,Posting Account
80-60008,Wages-Other,Posting Account
80-60009,+,Posting Account
80-60010,Social Security Taxes,Posting Account
80-60011,Medicare Taxes,Posting Account
80-60012,SUTA Expense,Posting Account
80-60013,Workers Comp Expense,Posting Account
80-60014,Group Insurance - Health,Posting Account
80-60015,Group Insurance - Life,Posting Account
80-60016,Employee Pension,Posting Account
80-60017,Employee Meals,Posting Account
80-60018,Employee Relations,Posting Account
80-60019,Employee Activities,Posting Account
80-64002,Customer Service,Posting Account
80-67000,Travel Expense,Posting Account
80-67001,Travel Expense - NonEmp,Posting Account
80-67002,Training and Education,Posting Account
80-67003,Training and Education,Posting Account
80-67004,Employee Recruiting,Posting Account
80-67005,Meals and Entertainment,Posting Account
80-68002,Professional Services,Posting Account
80-68003,Maintenance Contracts,Posting Account
80-71000,Building Lease,Posting Account
80-71001,Equipment Lease and Rental,Posting Account
80-71002,Storage Unit Rental,Posting Account
80-72000,RandM - Building,Posting Account
80-72001,RandM - Equipment,Posting Account
80-72002,RandM - Grounds,Posting Account
80-72003,RandM - Computer,Posting Account
80-72004,RandM - Vehicles,Posting Account
80-72005,RandM - Surveillance,Posting Account
80-74000,Intercompany Comps,Posting Account
80-74001,FandB Comps,Posting Account
80-74002,Hotel Comps,Posting Account
80-74003,Box Office Expense,Posting Account
80-74004,Intercompany Expense,Posting Account
80-75000,UTILITIES- CABLE TV,Posting Account
80-75001,Utilities-Electric,Posting Account
80-75002,Fuel/Propane,Posting Account
80-75003,Sewer/ Sanitary and Trash,Posting Account
80-75004,Cellular Phones,Posting Account
80-75005,Telephone Expense,Posting Account
80-79000,Counterfeit Bills,Posting Account
80-79001,Cash Short (Over),Posting Account
80-79002,Armored Car Services,Posting Account
80-79003,Credit Card Fees,Posting Account
80-79004,Check Cashing Fees,Posting Account
80-81003,Supplies-Office,Posting Account
80-81004,Supplies-Cleaning,Posting Account
80-81005,Supplies-Linen/Laundry,Posting Account
80-81006,Cage-Supplies-Gaming,Posting Account
80-81008,Supplies-Other,Posting Account
80-85000,Printing/Forms,Posting Account
80-85001,Uniforms,Posting Account
80-85002,Equipment Lease and Rental,Posting Account
80-85003,Small Tools and Equipment,Posting Account
80-85004,Postage and Freight,Posting Account
80-85005,Linen/Laundry Service,Posting Account
80-89000,Dues and Subscriptions,Posting Account
80-89003,Tribal Directed Events,Posting Account
80-89006,Bad Debt Expense,Posting Account
80-89007,Assessments and Taxes,Posting Account
80-89008,Over / Short,Posting Account
80-89009,Background Investigations,Posting Account
80-89011,Employee Appreciation,Posting Account
82-47000,Interest Income,Posting Account
82-60000,Salaries,Posting Account
82-60001,Regular Wages,Posting Account
82-60002,Overtime,Posting Account
82-60003,PTO,Posting Account
82-60004,Bereavement Pay,Posting Account
82-60005,Jury Duty,Posting Account
82-60006,Commissions,Posting Account
82-60007,Training Wages,Posting Account
82-60008,Wages-Other,Posting Account
82-60009,Payroll Allocation,Posting Account
82-60010,Social Security Taxes,Posting Account
82-60011,Medicare Taxes,Posting Account
82-60012,SUTA Expense,Posting Account
82-60013,Workers Comp Expense,Posting Account
82-60014,Group Insurance - Health,Posting Account
82-60015,Group Insurance - Life,Posting Account
82-60016,Employee Pension,Posting Account
82-60017,Employee Meals,Posting Account
82-60018,Employee Relations,Posting Account
